A,PASSTD,Name,RECYDS,RUSHTD,Rank,PPRPTS,C,RUSH,RUSHYDS,PASSYDS,Position,REC,RECTD,INT,Team
524.9,28.1,Cam Newton,0,5.7,35,335.3,303.8,125.6,682.3,3781,QB,0,0,13.2,Car
0,0,T.Y. Hilton,1166.4,0,36,231.7,0,1.9,11.8,0,WR,73.4,6.9,0,Ind
0,0,Kelvin Benjamin,896.8,0,37,206.6,0,0,0,0,WR,66.7,8.5,0,Car
0,0,Julian Edelman,1009.9,0.2,38,244.6,0,8,49.6,0,WR,94.4,7.4,0,NE
0,0,Doug Baldwin,1006.2,0,39,218.4,0,0,0,0,WR,75.4,7.2,0,Sea
0,0,C.J. Anderson,238.3,6.7,40,208.5,0,240.5,1129.8,0,RB,29.6,0.9,0,Den
0,0,Dion Lewis,582.2,2.7,41,192.6,0,95.8,413.6,0,RB,65.6,2.5,0,NE
0,0,Jarvis Landry,1011,0.3,42,246.4,0,15.2,82.6,0,WR,102.1,5.5,0,Mia
0,0,Jeremy Maclin,1097.1,0.2,43,224.2,0,3.9,24.7,0,WR,81.9,5.2,0,KC
0,0,Randall Cobb,940.1,0.3,44,227.2,0,16,108,0,WR,79.2,6.9,0,GB
0,0,Eric Decker,1121,0,45,246.7,0,0,0,0,WR,85.6,8.2,0,NYJ
0,0,Golden Tate,1059.2,0.2,46,233.1,0,7.2,45.8,0,WR,89.3,5.5,0,Det
0,0,Emmanuel Sanders,1045.7,0.1,47,208.7,0,4.4,27.7,0,WR,75.1,4.4,0,Den
0,0,Greg Olsen,957.3,0,48,208.6,0,0,0,0,TE,75.3,6.4,0,Car
562.7,32.6,Aaron Rodgers,0,1.5,49,311.6,354.7,51.2,238.3,4235.7,QB,0,0,7.7,GB
475.6,29.3,Russell Wilson,0,2.4,50,302.1,297.6,95.6,494.7,3689.2,QB,0,0,10.1,Sea
0,0,Michael Floyd,941.6,0,51,194.6,0,0,0,0,WR,59.8,6.8,0,Ari
0,0,DeVante Parker,945.3,0,52,192.8,0,0,0,0,WR,64.9,5.7,0,Mia
0,0,Larry Fitzgerald,949.3,0,53,218.1,0,0,0,0,WR,82.8,7,0,Ari
0,0,Donte Moncrief,904.9,0,54,206.9,0,0,0,0,WR,72.6,7.5,0,Ind
0,0,Jeremy Hill,147.5,6.9,55,163.0,0,211,875.3,0,RB,19.7,0.8,0,Cin
0,0,Latavius Murray,219.3,5,56,173.7,0,205.8,865.6,0,RB,30.7,1.5,0,Oak
0,0,Ryan Mathews,186.5,5.8,57,169.6,0,204.2,934.5,0,RB,25.4,0.5,0,Phi
0,0,Jeremy Langford,324.2,5.4,58,178.5,0,184.9,738.6,0,RB,36.4,1.2,0,Chi
0,0,DeMarco Murray,200.5,7.3,59,179.7,0,200.7,886.3,0,RB,26.6,0.6,0,Ten
0,0,Delanie Walker,860.4,0,60,188.0,0,0,0,0,TE,70.6,5.2,0,Ten
606.6,32.6,Andrew Luck,0,1.6,61,291.7,351.3,64.8,265,4207.3,QB,0,0,18.8,Ind
0,0,Matt Jones,335.2,5.8,62,195.8,0,240,942.2,0,RB,34.4,1.4,0,Wsh
0,0,Justin Forsett,205.6,4,63,174.3,0,198.6,956.1,0,RB,30.6,0.8,0,Bal
0,0,T.J. Yeldon,273,3.5,64,154.5,0,158.8,659.6,0,RB,35.2,1.5,0,Jax
0,0,DeAngelo Williams,116.1,3.1,65,106.3,0,129.7,597.7,0,RB,16.1,0.5,0,Pit
0,0,Melvin Gordon,188.1,3.8,66,158.1,0,237.7,913.7,0,RB,28.4,1,0,SD
0,0,Duke Johnson Jr.,416.3,3.8,67,187.0,0,160.2,634,0,RB,52.2,1.6,0,Cle
655.5,31.4,Drew Brees,0,0.9,68,290.5,438.9,21.7,35.2,4767.2,QB,0,0,15.5,NO
574.9,28.9,Ben Roethlisberger,0,0.7,69,283.8,376.2,27.7,66.5,4569.7,QB,0,0,13,Pit
0,0,John Brown,959.6,0.1,70,197.3,0,4.3,26.6,0,WR,63.6,6,0,Ari
0,0,Jordan Matthews,973,0,71,212.8,0,0,0,0,WR,80.9,6,0,Phi
0,0,DeSean Jackson,965.3,0,72,176.8,0,0,0,0,WR,54.6,4.3,0,Wsh
0,0,Danny Woodhead,654.1,2.2,73,212.5,0,95.8,362.9,0,RB,74.1,4,0,SD
0,0,Frank Gore,272.7,5.5,74,189.9,0,228.6,924.3,0,RB,32.1,1.4,0,Ind
0,0,Rashad Jennings,254,5,75,176.5,0,202.5,858.6,0,RB,32,1,0,NYG
0,0,Giovani Bernard,424.7,4,76,186.3,0,144.8,622.5,0,RB,51.4,1.4,0,Cin
0,0,Ameer Abdullah,288.4,4.6,77,173.5,0,186.2,792.8,0,RB,36.2,1.2,0,Det
557.5,29.5,Carson Palmer,0,1,78,261.1,339.6,24.9,49.2,4253.5,QB,0,0,16,Ari
470.8,25.5,Tom Brady,0,1.5,79,229.2,298.4,27.8,21.9,3324.7,QB,0,0,6.9,NE
0,0,Allen Hurns,800.1,0,80,171.3,0,0,0,0,WR,58,5.7,0,Jax
0,0,Michael Crabtree,873.8,0.1,81,210.8,0,3.7,23.1,0,WR,77,7.4,0,Oak
0,0,Tyler Lockett,728,0.1,82,162.2,0,4.6,28.4,0,WR,51.2,5.2,0,Sea
0,0,Josh Gordon,744,0,83,144.4,0,0,0,0,WR,47.6,3.8,0,Cle
0,0,Marvin Jones,984.2,0,84,203.8,0,0,0,0,WR,71.9,5.7,0,Det
0,0,Kevin White,935.4,0,85,191.1,0,0,0,0,WR,64.6,5.6,0,Chi
0,0,Stefon Diggs,703.8,0.1,86,152.2,0,4.4,27.8,0,WR,56.9,3.9,0,Min
0,0,Sterling Shepard,895.5,0,87,192.4,0,0,0,0,WR,71.7,5.2,0,NYG
610.2,30.7,Eli Manning,0,0.4,88,273.1,382.6,20.8,37.7,4575.8,QB,0,0,15.6,NYG
568.8,28.5,Blake Bortles,0,1.1,89,257.2,322.5,50.7,262.4,3817,QB,0,0,15.9,Jax
618.6,28.1,Philip Rivers,0,0.4,90,266.1,406.8,22.9,61.2,4498.1,QB,0,0,15.3,SD
0,0,Tyler Eifert,688.5,0,91,163.1,0,0,0,0,TE,60.3,5.8,0,Cin
0,0,Travis Kelce,865.2,0,92,194.6,0,0,0,0,TE,79.4,5.2,0,KC
0,0,Coby Fleener,851,0,93,201.9,0,0,0,0,TE,74,7.1,0,NO
0,0,Chris Ivory,141.7,4.5,94,136.6,0,167.7,738.9,0,RB,20,0.8,0,Jax
0,0,Jay Ajayi,96.2,4,95,95.1,0,125.3,481.2,0,RB,13,0.4,0,Mia
0,0,Torrey Smith,903.2,0,96,168.2,0,0,0,0,WR,52.8,4.2,0,SF
0,0,Willie Snead,866.1,0,97,179.9,0,0,0,0,WR,68.1,4.4,0,NO
0,0,Dorial Green-Beckham,572.5,0,98,118.7,0,0,0,0,WR,39.2,3.8,0,Ten
0,0,Laquon Treadwell,847,0,99,172.7,0,0,0,0,WR,62.4,4.4,0,Min
0,0,Vincent Jackson,775.8,0,100,160.7,0,0,0,0,WR,51.5,5.4,0,TB
0,0,Derrick Henry,146.7,6.6,101,140.5,0,158,688.5,0,RB,18,0.6,0,Ten
0,0,LeGarrette Blount,32.8,6.4,102,135.8,0,207.6,914.4,0,RB,4.4,0.2,0,NE
0,0,Arian Foster,280.2,4.4,103,163.9,0,163.2,700.1,0,RB,34.3,1.4,0,Mia
0,0,Theo Riddick,627.5,1.9,104,186.5,0,64.4,240.1,0,RB,71.5,3.1,0,Det
0,0,Tevin Coleman,170.1,3.6,105,112.2,0,117,496.9,0,RB,23.3,0.6,0,Atl
0,0,Charles Sims,455.5,2.8,106,169.2,0,106.2,438.3,0,RB,54.8,2,0,TB
0,0,Jordan Howard,59,4.3,107,88.5,0,125.6,505.8,0,RB,7.9,0.2,0,Chi
0,0,Bilal Powell,283.8,1.7,108,119.1,0,102.1,409,0,RB,36.2,1.1,0,NYJ
0,0,Gary Barnidge,813.6,0,109,178.5,0,0,0,0,TE,63.9,5.7,0,Cle
0,0,Ladarius Green,743.5,0,110,166.8,0,0,0,0,TE,58.8,5.5,0,Pit
0,0,Zach Ertz,850.6,0,111,190.6,0,0,0,0,TE,72.4,5.6,0,Phi
0,0,Corey Coleman,818.3,0.1,112,175.8,0,3.9,24.8,0,WR,66.7,4.2,0,Cle
0,0,Travis Benjamin,780.5,0,113,158.4,0,0,0,0,WR,52.5,4.2,0,SD
0,0,Michael Thomas,776.6,0,114,171.8,0,0,0,0,WR,58.7,6.1,0,NO
0,0,Tavon Austin,652.9,1.1,115,171.9,0,29.8,173,0,WR,66,2.5,0,LA
0,0,Markus Wheaton,721.9,0.1,116,154.8,0,3.9,25,0,WR,53.3,4.3,0,Pit
0,0,Will Fuller,654.5,0.1,117,133.8,0,4.4,28,0,WR,43.3,3.9,0,Hou
0,0,Steve Smith Sr.,816.3,0,118,163.4,0,0,0,0,WR,58.2,4.1,0,Bal
0,0,Breshad Perriman,587.5,0,119,121.4,0,0,0,0,WR,40.7,3.8,0,Bal
0,0,Mike Wallace,491.3,0.1,120,108.2,0,2.1,13.2,0,WR,37.5,3.5,0,Bal
0,0,Phillip Dorsett,630.1,0.2,121,145.6,0,7.5,47.1,0,WR,48.2,4.9,0,Ind
0,0,Josh Doctson,556.9,0,122,120.7,0,0,0,0,WR,40.9,4.2,0,Wsh
0,0,Charcandrick West,80.8,2.9,123,62.7,0,63.1,252.5,0,RB,10.9,0.3,0,KC
0,0,Isaiah Crowell,116.8,4.7,124,131.0,0,181.8,741.9,0,RB,15.2,0.5,0,Cle
0,0,Devontae Booker,109.7,3.1,125,84.3,0,96.2,408.4,0,RB,14.8,0.4,0,Den
0,0,C.J. Prosise,274.3,2.3,126,118.1,0,91.2,386.2,0,RB,33.1,1.3,0,Sea
0,0,Nelson Agholor,614.4,0,127,132.6,0,0,0,0,WR,49.9,3.7,0,Phi
0,0,Mohamed Sanu,678.8,0.2,128,151.9,0,5.9,36.6,0,WR,57.3,3.9,0,Atl
0,0,James Starks,159.6,2.1,129,100.8,0,116,506.3,0,RB,20.8,0.8,0,GB
0,0,Darren Sproles,399.1,1.9,130,137.9,0,57.9,289.6,0,RB,48.3,1.3,0,Phi
452.5,21.4,Tyrod Taylor,0,4.2,131,265.8,275.6,111.9,576.6,3262.3,QB,0,0,12.1,Buf
486.6,27.2,Tony Romo,0,0.6,132,245.2,326.1,26,56,3846.8,QB,0,0,11.4,Dal
592.5,29,Kirk Cousins,0,1.4,133,276.3,384,38.6,82.6,4500.4,QB,0,0,13.3,Wsh
593.6,30.8,Derek Carr,0,0.7,134,253.3,354.8,30.5,81.4,3843.7,QB,0,0,13.6,Oak
0,0,Kenneth Dixon,222.4,2.2,135,100.0,0,82.7,353.2,0,RB,25.9,0.9,0,Bal
0,0,Julius Thomas,666.6,0,136,162.6,0,0,0,0,TE,61.8,5.8,0,Jax
0,0,Antonio Gates,707.8,0,137,166.7,0,0,0,0,TE,60.9,5.9,0,SD
0,0,Zach Miller,657,0,138,152.6,0,0,0,0,TE,60.7,4.5,0,Chi
0,0,Martellus Bennett,516.1,0,139,128.9,0,0,0,0,TE,52.3,4.4,0,NE
0,0,Austin Seferian-Jenkins,500.1,0,140,115.9,0,0,0,0,TE,40.7,4.2,0,TB
0,0,Seahawks D/ST,0,0,141,116.3,0,0,0,0,D/ST,0,0,0,/S
0,0,Panthers D/ST,0,0,142,124.0,0,0,0,0,D/ST,0,0,0,/S
0,0,Bengals D/ST,0,0,143,122.8,0,0,0,0,D/ST,0,0,0,/S
0,0,Texans D/ST,0,0,144,115.2,0,0,0,0,D/ST,0,0,0,/S
0,0,Chiefs D/ST,0,0,145,115.9,0,0,0,0,D/ST,0,0,0,/S
0,0,Broncos D/ST,0,0,146,110.3,0,0,0,0,D/ST,0,0,0,/S
0,0,Cardinals D/ST,0,0,147,121.9,0,0,0,0,D/ST,0,0,0,/S
0,0,Stephen Gostkowski,0,0,148,146.7,0,0,0,0,K,0,0,0,NE
0,0,Jets D/ST,0,0,149,116.6,0,0,0,0,D/ST,0,0,0,/S
0,0,Packers D/ST,0,0,150,121.3,0,0,0,0,D/ST,0,0,0,/S
0,0,Raiders D/ST,0,0,151,111.5,0,0,0,0,D/ST,0,0,0,/S
0,0,Steven Hauschka,0,0,152,140.4,0,0,0,0,K,0,0,0,Sea
0,0,Dan Bailey,0,0,153,136.2,0,0,0,0,K,0,0,0,Dal
0,0,Justin Tucker,0,0,154,132.1,0,0,0,0,K,0,0,0,Bal
0,0,Adam Vinatieri,0,0,155,145.1,0,0,0,0,K,0,0,0,Ind
0,0,Mason Crosby,0,0,156,132.3,0,0,0,0,K,0,0,0,GB
0,0,Josh Brown,0,0,157,135.8,0,0,0,0,K,0,0,0,NYG
0,0,Graham Gano,0,0,158,131.1,0,0,0,0,K,0,0,0,Car
0,0,Blair Walsh,0,0,159,135.7,0,0,0,0,K,0,0,0,Min
0,0,Chandler Catanzaro,0,0,160,125.6,0,0,0,0,K,0,0,0,Ari
0,0,Jerick McKinnon,269.7,2.6,161,120.6,0,87.5,395.5,0,RB,35.5,1,0,Min
0,0,Paul Perkins,33.4,2.6,162,67.8,0,105.3,455,0,RB,4.4,0.2,0,NYG
0,0,Tyler Ervin,166.5,2.2,163,90.3,0,88.4,365,0,RB,20,0.7,0,Hou
0,0,Kenyan Drake,222.1,0.8,164,75.0,0,45.6,179.6,0,RB,25.7,1,0,Mia
0,0,Tyler Boyd,489.4,0.2,165,114.3,0,8.3,52.2,0,WR,40,3.1,0,Cin
0,0,Pierre Garcon,707.3,0,166,157.4,0,0,0,0,WR,59.9,4.6,0,Wsh
0,0,Kendall Wright,572.9,0.1,167,119.5,0,4.3,27.1,0,WR,46.9,2.2,0,Ten
0,0,Anquan Boldin,580,0,168,120.0,0,0,0,0,WR,44,3,0,Det
488,18.9,Marcus Mariota,0,1.9,169,231.4,304.6,69.4,417.7,3552.7,QB,0,0,13.5,Ten
616,25.2,Matthew Stafford,0,1.7,170,272.3,399.8,39.1,134.5,4468.1,QB,0,0,13.5,Det
533.8,25.7,Andy Dalton,0,2.7,171,268.5,336.9,62.2,230.3,3931.7,QB,0,0,13.5,Cin
0,0,Keith Marshall,32.2,2.1,172,53.4,0,77.4,340,0,RB,4.3,0.1,0,Wsh
0,0,DeAndre Washington,155,1.8,173,86.5,0,95.1,390.4,0,RB,18.6,0.8,0,Oak
0,0,Jimmy Graham,629.1,0,174,154.8,0,0,0,0,TE,51.5,6.9,0,Sea
0,0,Eric Ebron,633.4,0,175,148.0,0,0,0,0,TE,57.2,4.7,0,Det
0,0,Shane Vereen,449.6,1.6,176,146.8,0,60.8,262.1,0,RB,50.7,2.8,0,NYG
0,0,Wendell Smallwood,93.3,2.4,177,66.2,0,71.7,291.8,0,RB,12.5,0.4,0,Phi
0,0,Spencer Ware,26.9,3.5,178,56.5,0,67.1,306.9,0,RB,3.6,0.1,0,KC
0,0,Terrance Williams,692.1,0,179,140.6,0,0,0,0,WR,41.7,4.9,0,Dal
0,0,Victor Cruz,558.5,0,180,114.5,0,0,0,0,WR,40,3.3,0,NYG
0,0,Devin Funchess,634.1,0.1,181,144.2,0,4.8,29.9,0,WR,46.2,5.4,0,Car
0,0,Sammie Coates,581.3,0,182,128.2,0,0,0,0,WR,45.2,4.1,0,Pit
0,0,Leonte Carroo,412,0,183,83.4,0,0,0,0,WR,29.1,2.2,0,Mia
0,0,Shaun Draughn,245.5,1.9,184,104.7,0,85.5,322.4,0,RB,33.3,0.8,0,SF
0,0,Ted Ginn Jr.,424.8,0.1,185,91.2,0,4.8,29.9,0,WR,28.5,2.6,0,Car
0,0,Chris Hogan,594.2,0.1,186,142.7,0,2,12.4,0,WR,52.2,5.1,0,NE
0,0,Rishard Matthews,642.3,0,187,133.5,0,0,0,0,WR,51.2,3.1,0,Ten
0,0,Jason Witten,756.4,0,188,178.9,0,0,0,0,TE,71.6,5.4,0,Dal
0,0,Patriots D/ST,0,0,189,89.2,0,0,0,0,D/ST,0,0,0,/S
0,0,Vikings D/ST,0,0,190,95.6,0,0,0,0,D/ST,0,0,0,/S
0,0,Matt Prater,0,0,191,125.2,0,0,0,0,K,0,0,0,Det
0,0,Roberto Aguayo,0,0,192,140.9,0,0,0,0,K,0,0,0,TB
544.8,26,Jameis Winston,0,2.8,193,262.1,313.4,59.3,259,3799.5,QB,0,0,15.4,TB
511.9,23.4,Ryan Fitzpatrick,0,1.7,194,239.0,310.6,53.3,233.2,3609.4,QB,0,0,14.3,NYJ
585.4,23.6,Ryan Tannehill,0,1,195,246.1,361.4,35.8,135.8,4114.9,QB,0,0,11.9,Mia
0,0,Stevie Johnson,509.2,0,196,110.8,0,0,0,0,WR,42.2,3.1,0,SD
0,0,Jordan Cameron,569.6,0,197,127.7,0,0,0,0,TE,47.2,4.1,0,Mia
0,0,Jermaine Kearse,537.3,0,198,117.0,0,0,0,0,WR,36.3,4.6,0,Sea
0,0,Tim Hightower,73,3.1,199,68.6,0,82.7,329.3,0,RB,10,0.3,0,NO
0,0,Andre Ellington,140.8,1.2,200,57.7,0,43.1,177.5,0,RB,16.3,0.7,0,Ari
